S/N,Level,Type,Part No,Part Rev,Part Status,Latest,Nomenclature,Drawing Sheets,Instance ID,Instance ID 총수량(D/L DB),Instance ID 총수량(ALL DB),Qty,NextPart
35476,10,Material,FMS-3016.-.T,-,Release,T,"NICKEL ALLOY TUBING, INCONEL625",,,,,1.0,85P6055-003
35502,10,Material,FMS-3016.-.T,-,Release,T,"NICKEL ALLOY TUBING, INCONEL625",,,,,1.0,85P6061-003
35504,10,Material,FMS-3016.-.T,-,Release,T,"NICKEL ALLOY TUBING, INCONEL625",,,,,1.0,85P6061-005
35506,10,Material,FMS-3016.-.T,-,Release,T,"NICKEL ALLOY TUBING, INCONEL625",,,,,1.0,85P6061-009
35508,10,General,85P6061-013,-,Release,T,PIPE,,85P6470-013,,2.0,1.0,85P6061-011
35510,10,General,85P6061-015,A,Release,T,NOZZLE,,85P6470-015,,3.0,7.0,85P6061-011
35512,10,General,85P6061-017,A,Release,T,NOZZLE,,85P6470-017,,3.0,7.0,85P6061-011
35514,10,General,85P6061-019,-,Release,T,NOZZLE,,85P6470-019,,2.0,2.0,85P6061-011
35516,10,General,85P6061-033,-,Release,T,PLATE,,85P6470-033,,2.0,1.0,85P6061-011
35519,10,General,85P6061-013,-,Release,T,PIPE,,85P6470-013,,2.0,1.0,85P6061-012
35521,10,General,85P6061-015,A,Release,T,NOZZLE,,85P6470-015,,3.0,7.0,85P6061-012
35523,10,General,85P6061-017,A,Release,T,NOZZLE,,85P6470-017,,3.0,7.0,85P6061-012
35525,10,General,85P6061-019,-,Release,T,NOZZLE,,85P6470-019,,2.0,2.0,85P6061-012
35527,10,General,85P6061-033,-,Release,T,PLATE,,85P6470-033,,2.0,1.0,85P6061-012
35530,10,General,85P6061-023,-,Release,T,PIPE,,85P6470-023,,2.0,1.0,85P6061-021
35532,10,General,85P6061-025,-,Release,T,PIPE,,85P6470-025,,2.0,1.0,85P6061-021
35534,10,General,85P6061-027,-,Release,T,NOZZLE,,85P6470-027,,2.0,8.0,85P6061-021
35536,10,General,85P6061-033,-,Release,T,PLATE,,85P6470-033,,2.0,2.0,85P6061-021
35539,10,Material,AMS 5556-TY2.-.T,-,Release,T,"CRES TUBING, 347",,,,,1.0,85P6061-029
35541,10,Material,AMS 5556-TY2.-.T,-,Release,T,"CRES TUBING, 347",,,,,1.0,85P6061-035
35543,10,Material,FMS-3016.-.T,-,Release,T,"NICKEL ALLOY TUBING, INCONEL625",,,,,1.0,85P6061-037
35545,10,Material,AMS 5599.-.S,-,Release,T,"NICKEL ALLOY SHEET AND PLATE, INCONEL625",,,,,1.0,85P6061-039
35547,10,General,85P6061-045,-,Release,T,BRACKET,,85P6470-045,,2.0,1.0,85P6061-041
35549,10,Standard,MS20427M3-4,-,Release,T,RIVET,,,,,2.0,85P6061-041
35550,10,Standard,NAS1791C4-1,-,Release,T,NUT,,,,,1.0,85P6061-041
35552,10,Material,AMS 5599.-.S,-,Release,T,"NICKEL ALLOY SHEET AND PLATE, INCONEL625",,,,,1.0,85P6061-043
35554,10,Material,AMS 5599.-.S,-,Release,T,"NICKEL ALLOY SHEET AND PLATE, INCONEL625",,,,,1.0,85P6061-044
35556,10,Material,AMS 5556-TY2.-.T,-,Release,T,"CRES TUBING, 347",,,,,1.0,85P6061-047
35558,10,Material,FMS-3016.-.T,-,Release,T,"NICKEL ALLOY TUBING, INCONEL625",,,,,1.0,85P6061-049
35560,10,Material,FMS-3016.-.T,-,Release,T,"NICKEL ALLOY TUBING, INCONEL625",,,,,1.0,85P6061-053
35562,10,Material,FMS-3016.-.T,-,Release,T,"NICKEL ALLOY TUBING, INCONEL625",,,,,1.0,85P6061-055
35564,10,Material,FMS-3016.-.T,-,Release,T,"NICKEL ALLOY TUBING, INCONEL625",,,,,1.0,85P6061-057
